Abaca, n., The Manila-hemp plant (Musa textilis); also
Mouse, n., A knob made on a rope with spun yarn or parceling to prevent a running eye from slipping.
Mouse, n., Same as 2d Mousing
Mouse, n., A familiar term of endearment.
Mouse, n., A dark-colored swelling caused by a blow.
Mouse, n., A match used in firing guns or blasting.
Mouse, v. i., To watch for and catch mice.
Mouse, v. i., To watch for or pursue anything in a sly manner; to pry about
Mouse, v. t., To tear
Mouse, v. t., To furnish with a mouse; to secure by means of a mousing. See Mouse
Mousy, a., Infested with mice; smelling of mice.
Mouth, n., The opening through which an animal receives food; the aperture between the jaws or between the lips; also
Mouth, n., An opening affording entrance or exit; orifice; aperture;
Mouth, n., The opening of a vessel by which it is filled or emptied
Mouth, n., The opening or entrance of any cavity
Mouth, n., The opening of a piece of ordnance
Mouth, n., The opening through which the waters of a river or any stream are discharged.
Mouth, n., The entrance into a harbor.
Mouth, n., The crosspiece of a bridle bit
Mouth, n., A principal speaker; one who utters the common opinion; a mouthpiece.
Mouth, n., Cry; voice.
Mouth, n., Speech; language; testimony.
Mouth, n., A wry face; a grimace; a mow.
Mouth, v. t., To take into the mouth; to seize or grind with the mouth or teeth; to chew; to devour.
Mouth, v. t., To utter with a voice affectedly big or swelling; to speak in a strained or unnaturally sonorous manner.
Mouth, v. t., To form or cleanse with the mouth; to lick
Mouth, v. t., To make mouths at.
Mouth, v. i., To speak with a full
Mouth, v. i., To put mouth to mouth; to kiss.
Mouth, v. i., To make grimaces
Moved, imp. & p. p., of Move
Mover, n., A person or thing that moves
Mover, n., A person or thing that imparts motion
Mover, n., One who
Mover, n., A proposer; one who offers a proposition
Mowen, , of Mow
Mowed, imp., of Mow
Mowed, p. p., of Mow
Mower, n., One who
Moxie, n., energy; pep.
Moxie, n., courage
Moxie, n., Know-how
Moyle, n. & v., See Moil
Mucic, a., Pertaining to
Mucid, a., Musty; moldy; slimy; mucous.
Mucin, n., See Mucedin.
Mucin, n., An albuminoid substance which is contained in mucus
Mucky, a., Filthy with muck; miry; as
Mucky, a., Vile
Mucor, n., A genus of minute fungi. The plants consist of slender threads with terminal globular sporangia; mold.
Mucro, n., A minute abrupt point
Mucus, n., A viscid fluid secreted by mucous membranes
Mucus, n., Any other animal fluid of a viscid quality
Mucus, n., A gelatinous or slimy substance found in certain algae and other plants.
Mudar, n., Either one of two asclepiadaceous shrubs (Calotropis gigantea
Muddy, superl., Abounding in mud; besmeared or dashed with mud; as
Muddy, superl., Turbid with mud; as
Muddy, superl., Consisting of mud or earth; gross; impure.
Muddy, superl., Confused
Muddy, superl., Not clear or bright.
Muddy, v. t., To soil with mud; to dirty; to render turbid.
Muddy, v. t., Fig.: To cloud; to make dull or heavy.
Mudir, n., Same as Moodir.
Mufti, n., An official expounder of Mohammedan law.
Mufti, n., Citizen's dress when worn by a naval or military officer; -- a term derived from the British service in India.
Muggy, superl., Moist; damp; moldy; as
Muggy, superl., Warm
Mugil, n., A genus of fishes including the gray mullets. See Mullet.
Mulch, n., Half-rotten straw
Mulch, v. t., To cover or dress with mulch.
Mulct, n., A fine or penalty
Mulct, n., A blemish or defect.
Mulct, v. t., To punish for an offense or misdemeanor by imposing a fine or forfeiture
Mulct, v. t., Hence
Muley, n., A stiff
Muley, n., See Mulley.
Mulla, n., Same as Mollah.
Mulse, n., Wine boiled and mingled with honey.
Mult-, , See Multi-.
Mult-, , A prefix signifying much or many; several; more than one; as
Mummy, n., A dead body embalmed and dried after the manner of the ancient Egyptians; also
Mummy, n., Dried flesh of a mummy.
Mummy, n., A gummy liquor that exudes from embalmed flesh when heated; -- formerly supposed to have magical and medicinal properties.
Mummy, n., A brown color obtained from bitumen. See Mummy brown (below).
Mummy, n., A sort of wax used in grafting
Mummy, n., One whose affections and energies are withered.
Mummy, v. t., To embalm; to mummify.
Mumps, n., Sullenness; silent displeasure; the sulks.
Mumps, n., A specific infectious febrile disorder characterized by a nonsuppurative inflammation of the parotid glands; epidemic or infectious parotitis.
Munch, v. t. & i., To chew with a grinding
Munga, n., See Bonnet monkey
Mungo, n., A fibrous material obtained by deviling rags or the remnants of woolen goods.
Mural, a., Of or pertaining to a wall; being on
Mural, a., Resembling a wall; perpendicular or steep; as
Mured, imp. & p. p., of Mure
Murex, n., A genus of marine gastropods
Murky, superl., Dark; obscure; gloomy.
Murre, n., Any one of several species of sea birds of the genus Uria
Murry, n., See Muraena.
Murth, n., Plenty; abundance.
Murza, n., One of the hereditary nobility among the Tatars
Mures, pl., of Mus
Musae, pl., of Musa
Musal, a., Of or pertaining to the Muses
Musar, n., An itinerant player on the musette
Musca, n., A genus of dipterous insects
Musca, n., A small constellation situated between the Southern Cross and the Pole.
Musci, n. pl., An order or subclass of cryptogamous plants; the mosses. See Moss
Mused, imp. & p. p., of Muse
Muser, n., One who muses.
Muset, n., A small hole or gap through which a wild animal passes; a muse.
Mushy, a., Soft like mush; figuratively
Music, n., The science and the art of tones
Music, n., Melody; a rhythmical and otherwise agreeable succession of tones.
Music, n., Harmony; an accordant combination of simultaneous tones.
Music, n., The written and printed notation of a musical composition; the score.
Music, n., Love of music; capacity of enjoying music.
Music, n., A more or less musical sound made by many of the lower animals. See Stridulation.
Musit, n., See Muset.
Musky, a., Having an odor of musk
Mussy, a., Disarranged; rumpled.
Musty, n., Having the rank
Musty, n., Spoiled by age; rank; stale.
Musty, n., Dull; heavy; spiritless.
Mutch, n., The close linen or muslin cap of an old woman.
Mutic, a., Alt. of Muticous
Muzzy, a., Absent-minded; dazed; muddled; stupid.
Myoid, a., Composed of
Myoma, n., A tumor consisting of muscular tissue.
Myope, n., A person having myopy; a myops.
Myips, n., See Myope.
Myopy, n., Myopia.
Myrrh, n., A gum resin
Mysis, n., A genus of small schizopod shrimps found both in fresh and salt water; the opossum shrimps. One species inhabits the Great Lakes of North America
Mythe, n., See Myth.
Nabit, n., Pulverized sugar candy.
Nabob, n., A deputy or viceroy in India; a governor of a province of the ancient Mogul empire.
Nabob, n., One who returns to Europe from the East with immense riches: hence
Nacre, n., A pearly substance which lines the interior of many shells
Nadde, , Had not.
Nadir, n., That point of the heavens
Nadir, n., The lowest point; the time of greatest depression.
Naeve, n., A naevus.
Naevi, pl., of Navus
Navus, n., A spot or mark on the skin of children when born; a birthmark; -- usually applied to vascular tumors
Naggy, a., Irritable; touchy.
Nagor, n., A West African gazelle (Gazella redunca).
Naiad, n., A water nymph; one of the lower female divinities
Naiad, n., Any species of a tribe (Naiades) of freshwater bivalves
Naiad, n., One of a group of butterflies. See Nymph.
Naiad, n., Any plant of the order Naiadaceae
Naive, a., Having native or unaffected simplicity; ingenuous; artless; frank; as
Naked, a., Having no clothes on; uncovered; nude; bare; as
Naked, a., Having no means of defense or protection; open; unarmed; defenseless.
Naked, a., Unprovided with needful or desirable accessories
Naked, a., Without addition
Naked, a., Mere; simple; plain.
Naked, a., Without pubescence; as
Naked, a., Not having the full complement of tones; -- said of a chord of only two tones
Naker, n., Same as Nacre.
Naker, n., A kind of kettledrum.
Nakoo, n., The gavial.
Named, imp. & p. p., of Name
Namer, n., One who names
Nandu, n., Any one of three species of South American ostriches of the genera Rhea and Pterocnemia. See Rhea.
Nanny, n., A diminutive of Ann or Anne
Nappe, n., Sheet; surface; all that portion of a surface that is continuous in such a way that it is possible to pass from any one point of the portion to any other point of the portion without leaving the surface. Thus
Nappy, a., Inclined to sleep; sleepy; as
Nappy, a., Tending to cause sleepiness; serving to make sleepy; strong; heady; as
Nappy, a., Having a nap or pile; downy; shaggy.
Nappy, n., A round earthen dish
Napus, n., A kind of turnip. See Navew.
Nares, n. pl., The nostrils or nasal openings
Narre, a., Nearer.
Narwe, a., Narrow.
Nasal, a., Of or pertaining to the nose.
Nasal, a., Having a quality imparted by means of the nose; and specifically
Nasal, n., An elementary sound which is uttered through the nose
Nasal, n., A medicine that operates through the nose; an errhine.
Nasal, n., Part of a helmet projecting to protect the nose; a nose guard.
Nasal, n., One of the nasal bones.
Nasal, n., A plate
Naso-, , A combining form denoting pertaining to
Nassa, n., Any species of marine gastropods
Nasty, superl., Offensively filthy; very dirty
Nasty, superl., Hence
Nasty, superl., Characterized by obcenity; indecent; indelicate; gross; filthy.
Natal, a., Of or pertaining to one's birth; accompying or dating from one's birth; native.
Natal, a., Presiding over nativity; as
Natch, n., The rump of beef; esp.
Nates, n. pl., The buttocks.
Nates, n. pl., The two anterior of the four lobes on the dorsal side of the midbrain of most mammals; the anterior optic lobes.
Nates, n. pl., The umbones of a bivalve shell.
Natka, a., A species of shrike.
Natty, a., Neat; tidy; spruce.
Naval, a., Having to do with shipping; of or pertaining to ships or a navy; consisting of ships; as
Navel, n., A mark or depression in the middle of the abdomen; the umbilicus. See Umbilicus.
Navel, n., The central part or point of anything; the middle.
Navel, n., An eye on the under side of a carronade for securing it to a carriage.
Navew, n., A kind of small turnip
Navvy, n., Originally
Nawab, n., A deputy ruler or viceroy in India; also
Neddy, n., A pet name for a donkey.
Needs, adv., Of necessity; necessarily; indispensably; -- often with must
Needy, superl., Distressed by want of the means of living; very por; indigent; necessitous.
Needy, superl., Necessary; requiste.
Neeld, n., Alt. of Neele
Neele, n., A needle.
Ne'er, adv., a contraction of Never.
Neese, v. i., To sneeze.
Negro, n., A black man; especially
Negro, a., Of or pertaining to negroes; black.
Negus, n., A beverage made of wine
Neife, n., A woman born in the state of villeinage; a female serf.
Neigh, v. i., To utter the cry of the horse; to whinny.
Neigh, v. i., To scoff or sneer; to jeer.
Neigh, n., The cry of a horse; a whinny.
Nempt, p. p., Called; named.
Nenia, n., A funeral song; an elegy.
Nerre, adv. & a., Nearer.
Nerve, n., One of the whitish and elastic bundles of fibers
Nerve, n., A sinew or a tendon.
Nerve, n., Physical force or steadiness; muscular power and control; constitutional vigor.
Nerve, n., Steadiness and firmness of mind; self-command in personal danger
Nerve, n., Audacity; assurance.
Nerve, n., One of the principal fibrovascular bundles or ribs of a leaf
Nerve, n., One of the nervures
Nerve, v. t., To give strength or vigor to; to supply with force; as
Nervy, superl. -, Strong; sinewy.
-ness, , A suffix used to form abstract nouns expressive of quality or state; as
Netty, a., Like a net
Neura, pl., of Neuron
Neven, v. t., To name; to mention; to utter.
Never, adv., Not ever; not at any time; at no time
Never, adv., In no degree; not in the least; not.
Nevew, n., Nephew.
Newel, n., A novelty; a new thing.
Newel, n., The upright post about which the steps of a circular staircase wind; hence
Newly, adv., Lately; recently.
Newly, adv., Anew; afresh; freshly.
Newsy, a., Full of news; abounding in information as to current events.
Nexus, n., Connection; tie.
Ngina, n., The gorilla.
Niche, n., A cavity
Nidor, n., Scent or savor of meat or food
Nidus, n., A nest: a repository for the eggs of birds
Niece, n., A relative
Niece, n., A daughter of one's brother or sister
Nifle, n., A trifle.
Night, n., That part of the natural day when the sun is beneath the horizon
Night, n., Darkness; obscurity; concealment.
Night, n., Intellectual and moral darkness; ignorance.
Night, n., A state of affliction; adversity; as
Night, n., The period after the close of life; death.
Night, n., A lifeless or unenlivened period
Nigua, n., The chigoe.
Nihil, n., Nothing.
Nomen, p. p., of Nim
Nimbi, pl., of Nimbus
Ninny, n., A fool; a simpleton.
Ninth, a., Following the eight and preceding the tenth; coming after eight others.
Ninth, a., Constituting or being one of nine equal parts into which anything is divided.
Ninth, n., The quotient of one divided by nine; one of nine equal parts of a thing; the next after the eighth.
Ninth, n., An interval containing an octave and a second.
Ninth, n., A chord of the dominant seventh with the ninth added.
Ninut, n., The magpie.
Niobe, n., The daughter of Tantalus
Niopo, n., A kind of snuff prepared by the natives of Venezuela from the roasted seeds of a leguminous tree (Piptadenia peregrina)
Nisan, n., The first month of the jewish ecclesiastical year
Nisey, n., A simpleton.
Niste, , Wist not; knew not.
Nisus, n., A striving; an effort; a conatus.
Niter, n., Alt. of Nitre
Nitre, n., A white crystalline semitransparent salt; potassium nitrate; saltpeter. See Saltpeter.
Nitre, n., Native sodium carbonate; natron.
Nitid, a., Bright; lustrous; shining.
Nitid, a., Gay; spruce; fine; -- said of persons.
Nitre, n., See Niter.
Nitry, a., Nitrous.
Nitty, a., Full of nits.
Nitty, a., Shining; elegant; spruce.
Nival, a., Abounding with snow; snowy.
Nixie, n., See Nix.
Nizam, n., The title of the native sovereigns of Hyderabad
Nobby, a., Stylish; modish; elegant; showy; aristocratic; fashionable.
Noble, superl., Possessing eminence
Noble, superl., Grand; stately; magnificent; splendid; as
Noble, superl., Of exalted rank; of or pertaining to the nobility; distinguished from the masses by birth
Noble, n., A person of rank above a commoner; a nobleman; a peer.
Noble, n., An English money of account
Noble, n., A European fish; the lyrie.
Noble, v. t., To make noble; to ennoble.
Nobly, adv., Of noble extraction; as
Nobly, adv., In a noble manner; with greatness of soul; heroically; with magnanimity; as
Nobly, adv., Splendidly; magnificently.
Nodal, a., Of the nature of
Noddy, n., A simpleton; a fool.
Noddy, n., Any tern of the genus Anous
Noddy, n., The arctic fulmar (Fulmarus glacialis). Sometimes also applied to other sea birds.
Noddy, n., An old game at cards.
Noddy, n., A small two-wheeled one-horse vehicle.
Noddy, n., An inverted pendulum consisting of a short vertical flat spring which supports a rod having a bob at the top; -- used for detecting and measuring slight horizontal vibrations of a body to which it is attached.
Noght, adv., Not.
Noier, n., An annoyer.
Noils, n. pl., Waste and knots of wool removed by the comb; combings.
Noint, v. t., To anoint.
Noise, n., Sound of any kind.
Noise, n., Especially
Noise, n., Loud or continuous talk; general talk or discussion; rumor; report.
Noise, n., Music
Noise, v. i., To sound; to make a noise.
Noise, v. t., To spread by rumor or report.
Noise, v. t., To disturb with noise.
Noisy, superl., Making a noise
Noisy, superl., Full of noise.
Nolde, , Would not.
Nomad, n., One of a race or tribe that has no fixed location
Nomad, a., Roving; nomadic.
Nomen, , p. p. of Nim.
Nomic, a., Customary; ordinary; -- applied to the usual English spelling
Nomic, n., Nomic spelling.
Nonce, n., The one or single occasion; the present call or purpose; -- chiefly used in the phrase for the nonce.
Nonda, n., The edible plumlike fruit of the Australian tree
Nondo, n., A coarse umbelliferous plant (Ligusticum actaeifolium) with a large aromatic root. It is found chiefly in the Alleghany region. Also called Angelico.
Nones, n. pl., The fifth day of the months January
Nones, n. pl., The canonical office
Nones, n. pl., The hour of dinner; the noonday meal.
Nonet, n., Alt. of Nonetto
Nonne, n., A nun.
Nonny, n., A silly fellow; a ninny.
Nonyl, n., The hydrocarbon radical
Noose, n., A running knot
Noose, v. t., To tie in a noose; to catch in a noose; to entrap; to insnare.
Nopal, n., A cactaceous plant (Nopalea cochinellifera)
Noria, n., A large water wheel
Norie, n., The cormorant.
Norma, n., A norm; a principle or rule; a model; a standard.
Norma, n., A mason's or a carpenter's square or rule.
Norma, n., A templet or gauge.
Norna, n., One of the three Fates
Norna, n., A tutelary deity; a genius.
Norse, a., Of or pertaining to ancient Scandinavia
Norse, n., The Norse language.
North, n., That one of the four cardinal points of the compass
North, n., Any country or region situated farther to the north than another; the northern section of a country.
North, n., Specifically: That part of the United States lying north of Mason and Dixon's line. See under Line.
North, a., Lying toward the north; situated at the north
North, v. i., To turn or move toward the north; to veer from the east or west toward the north.
North, adv., Northward.
Nosed, imp. & p. p., of Nose
Nosed, a., Having a nose
Nosel, v. t., To nurse; to lead or teach; to foster; to nuzzle.
Nosle, n., Nozzle.
Notal, a., Of or pertaining to the back; dorsal.
Notch, n., A hollow cut in anything; a nick; an indentation.
Notch, n., A narrow passage between two elevation; a deep
Notch, v. t., To cut or make notches in ; to indent; also
Notch, v. t., To fit the notch of (an arrow) to the string.
Noted, imp. & p. p., of Note
Noted, a., Well known by reputation or report; eminent; celebrated; as
Noter, n., One who takes notice.
Noter, n., An annotator.
Notum, n., The back.
Notus, n., The south wind.
Nouch, n., An ouch; a jewel.
Nould, , Would not.
Noule, n., The top of the head; the head or noll.
Novel, a., Of recent origin or introduction; not ancient; new; hence
Novel, a., That which is new or unusual; a novelty.
Novel, a., News; fresh tidings.
Novel, a., A fictitious tale or narrative
Novel, a., A new or supplemental constitution. See the Note under Novel
Novum, n., A game at dice
Noway, adv., Alt. of Noways
Nowch, n., See Nouch.
Nowed, a., Knotted; tied in a knot
Nowel, n., Christmas; also
Nowel, n., A kind of hymn
Nowel, n., The core
Nowel, n., The bottom part of a mold or of a flask
Nowes, n. pl., The marriage knot.
Noyau, n., A cordial of brandy
Noyer, n., An annoyer.
Noyls, n. pl., See Noils.
Nozle, n., Nozzle.
Nubia, n., A light fabric of wool
Nuch/, pl., of Nucha
Nucha, n., The back or upper part of the neck; the nape.
Nucin, n., See Juglone.
Nucle, n., Same as Nutlet.
Nudge, v. t., To touch gently
Nudge, n., A gentle push
Nugae, n. pl., Trifles; jests.
Numps, n., A dolt; a blockhead.
Nurse, n., One who nourishes; a person who supplies food
Nurse, n., One who
Nurse, n., A lieutenant or first officer
Nurse, n., A peculiar larva of certain trematodes which produces cercariae by asexual reproduction. See Cercaria
Nurse, n., Either one of the nurse sharks.
Nurse, v. t., To nourish; to cherish; to foster
Nurse, v. t., To nourish at the breast; to suckle; to feed and tend
Nurse, v. t., To take care of or tend
Nurse, v. t., To bring up; to raise
Nurse, v. t., To manage with care and economy
Nurse, v. t., To caress; to fondle
Nutty, a., Abounding in nuts.
Nutty, a., Having a flavor like that of nuts; as
Nymph, n., A goddess of the mountains
Nymph, n., A lovely young girl; a maiden; a damsel.
Nymph, n., The pupa of an insect; a chrysalis.
Nymph, n., Any one of a subfamily (Najades) of butterflies including the purples
Nyula, n., A species of ichneumon (Herpestes nyula). Its fur is beautifully variegated by closely set zigzag markings.
Oaken, a., Made or consisting of oaks or of the wood of oaks.
Oaker, n., See Ocher.
Oakum, n., The material obtained by untwisting and picking into loose fiber old hemp ropes; -- used for calking the seams of ships
Oakum, n., The coarse portion separated from flax or hemp in nackling.
Oared, imp. & p. p., of Oar
Oared, a., Furnished with oars; -- chiefly used in composition; as
Oared, a., Having feet adapted for swimming.
Oared, a., Totipalmate; -- said of the feet of certain birds. See Illust. of Aves.
Oases, pl., of Oasis
Oasis, n., A fertile or green spot in a waste or desert
Oaten, a., Consisting of an oat straw or stem; as
Oaten, a., Made of oatmeal; as
Oaths, pl., of Oath
Obeah, n., Same as Obi.
Obeah, a., Of or pertaining to obi; as
Obeli, pl., of Obelus
Obese, a., Excessively corpulent; fat; fleshy.
Obole, n., A weight of twelve grains; or
Obolo, n., A copper coin
Oboli, pl., of Obolus
Obrok, n., A rent.
Obrok, n., A poll tax paid by peasants absent from their lord's estate.
Occur, v. i., To meet; to clash.
Occur, v. i., To go in order to meet; to make reply.
Occur, v. i., To meet one's eye; to be found or met with; to present itself; to offer; to appear; to happen; to take place; as
Occur, v. i., To meet or come to the mind; to suggest itself; to be presented to the imagination or memory.
Ocean, n., The whole body of salt water which covers more than three fifths of the surface of the globe; -- called also the sea
Ocean, n., One of the large bodies of water into which the great ocean is regarded as divided
Ocean, n., An immense expanse; any vast space or quantity without apparent limits; as
Ocean, a., Of or pertaining to the main or great sea; as
Ocher, n., Alt. of Ochre
Ochre, n., A impure earthy ore of iron or a ferruginous clay
Ochre, n., A metallic oxide occurring in earthy form; as
Ochre, n., See Ocher.
Ochry, a., See Ochery.
Ocrea, n., See Ochrea.
Octa-, , A prefix meaning eight. See Octo-.
Octad, n., An atom or radical which has a valence of eight
Octet, n., A composition for eight parts
Octic, a., Of the eighth degree or order.
Octic, n., A quantic of the eighth degree.
Octo-, , Alt. of Octa-
Octa-, , A combining form meaning eight; as in octodecimal
Octyl, n., A hypothetical hydrocarbon radical regarded as an essential residue of octane
Oculi, pl., of Oculus
Oddly, adv., In an odd manner; unevently.
Oddly, adv., In a peculiar manner; strangely; queerly; curiously.
Oddly, adv., In a manner measured by an odd number.
Odeon, n., A kind of theater in ancient Greece
Odeum, n., See Odeon.
Odist, n., A writer of an ode or odes.
Odium, n., Hatred; dislike; as
Odium, n., The quality that provokes hatred; offensiveness.
Odize, v. t., To charge with od. See Od.
Odmyl, n., A volatile liquid obtained by boiling sulphur with linseed oil. It has an unpleasant garlic odor.
Odyle, n., See Od. [Archaic].
Oelet, n., An eye
Offal, n., The rejected or waste parts of a butchered animal.
Offal, n., A dead body; carrion.
Offal, n., That which is thrown away as worthless or unfit for use; refuse; rubbish.
Offer, v. t., To present
Offer, v. t., To bring to or before; to hold out to; to present for acceptance or rejection; as
Offer, v. t., To present in words; to proffer; to make a proposal of; to suggest; as
Offer, v. t., To attempt; to undertake.
Offer, v. t., To bid
Offer, v. t., To put in opposition to; to manifest in an offensive way; to threaten; as
Offer, v. i., To present itself; to be at hand.
Offer, v. i., To make an attempt; to make an essay or a trial; -- used with at.
Offer, v. t., The act of offering
Offer, v. t., That which is offered or brought forward; a proposal to be accepted or rejected; a sum offered; a bid.
Offer, v. t., Attempt; endeavor; essay; as
Often, adv., Frequently; many times; not seldom.
Often, a., Frequent; common; repeated.
Ofter, adv., Compar. of Oft.
Ogham, n., A particular kind of writing practiced by the ancient Irish
Ogive, n., The arch or rib which crosses a Gothic vault diagonally.
Ogled, imp. & p. p., of Ogle
Ogler, n., One who ogles.
Oglio, n., See Olio.
Oiled, imp. & p. p., of Oil
Oiled, a., Covered or treated with oil; dressed with
Oiler, n., One who deals in oils.
Oiler, n., One who
Olden, a., Old; ancient; as
Olden, v. i., To grow old; to age.
Oleic, a., Pertaining to
Olein, n., A fat
Olent, a., Scented.
Oliva, n., A genus of polished marine gastropod shells
Olive, n., A tree (Olea Europaea) with small oblong or elliptical leaves
Olive, n., The fruit of the olive. It has been much improved by cultivation
Olive, n., Any shell of the genus Oliva and allied genera; -- so called from the form. See Oliva.
Olive, n., The oyster catcher.
Olive, n., The color of the olive
Olive, n., One of the tertiary colors
Olive, n., An olivary body. See under Olivary.
Olive, n., A small slice of meat seasoned
Olive, a., Approaching the color of the olive; of a peculiar dark brownish
Ology, n., A colloquial or humorous name for any science or branch of knowledge.
Omber, n., Alt. of Ombre
Ombre, n., A game at cards
Ombre, n., A large Mediterranean food fish (Umbrina cirrhosa): -- called also umbra
Omega, n., The last letter of the Greek alphabet. See Alpha.
Omega, n., The last; the end; hence
Omni-, , A combining form denoting all
Onely, a., See Only.
Onion, n., A liliaceous plant of the genus Allium (A. cepa)
Onset, n., A rushing or setting upon; an attack; an assault; a storming; especially
Onset, n., A setting about; a beginning.
Onset, n., Anything set on
Onset, v. t., To assault; to set upon.
Onset, v. t., To set about; to begin.
Oones, adv., Once.
Oopak, n., A kind of black tea.
Oozed, imp. & p. p., of Ooze
Oozoa, n. pl., Same as Acrita.
Opake, a., See Opaque.
Opera, n., A drama
Opera, n., The score of a musical drama
Opera, n., The house where operas are exhibited.
Opine, v. t. & i., To have an opinion; to judge; to think; to suppose.
Opium, n., The inspissated juice of the Papaver somniferum
Optic, a., The organ of sight; an eye.
Optic, a., An eyeglass.
Optic, a., Alt. of Optical
Opera, pl., of Opus
Orach, n., Alt. of Orache
Orang, n., See Orang-outang.
Orbed, imp. & p. p., of Orb
Orbed, a., Having the form of an orb; round.
Orbic, a., Alt. of Orbical
Orbit, n., The path described by a heavenly body in its periodical revolution around another body; as
Orbit, n., An orb or ball.
Orbit, n., The cavity or socket of the skull in which the eye and its appendages are situated.
Orbit, n., The skin which surrounds the eye of a bird.
Orcin, n., A colorless crystalline substance
Ordal, n., Ordeal.
Order, n., Regular arrangement; any methodical or established succession or harmonious relation; method; system
Order, n., Of material things
Order, n., Of intellectual notions or ideas
Order, n., Of periods of time or occurrences
Order, n., Right arrangement; a normal
Order, n., The customary mode of procedure; established system
Order, n., Conformity with law or decorum; freedom from disturbance; general tranquillity; public quiet; as
Order, n., That which prescribes a method of procedure; a rule or regulation made by competent authority; as
Order, n., A command; a mandate; a precept; a direction.
Order, n., Hence: A commission to purchase
Order, n., A number of things or persons arranged in a fixed or suitable place
Order, n., A body of persons having some common honorary distinction or rule of obligation; esp.
Order, n., An ecclesiastical grade or rank
Order, n., The disposition of a column and its component parts
Order, n., An assemblage of genera having certain important characters in common; as
Order, n., The placing of words and members in a sentence in such a manner as to contribute to force and beauty or clearness of expression.
Order, n., Rank; degree; thus
Order, n., To put in order; to reduce to a methodical arrangement; to arrange in a series
Order, n., To give an order to; to command; as
Order, n., To give an order for; to secure by an order; as
Order, n., To admit to holy orders; to ordain; to receive into the ranks of the ministry.
Order, v. i., To give orders; to issue commands.
Oread, n., One of the nymphs of mountains and grottoes.
Orgal, n., See Argol.
Organ, n., An instrument or medium by which some important action is performed
Organ, n., A natural part or structure in an animal or a plant
Organ, n., A component part performing an essential office in the working of any complex machine; as
Organ, n., A medium of communication between one person or body and another; as
Organ, n., A wind instrument containing numerous pipes of various dimensions and kinds
Organ, v. t., To supply with an organ or organs; to fit with organs; to organize.
Orgue, n., Any one of a number of long
Orgue, n., A piece of ordnance
Oriel, n., A gallery for minstrels.
Oriel, n., A small apartment next a hall
Oriel, n., A bay window. See Bay window.
Oriol, n., See Oriel.
Orion, n., A large and bright constellation on the equator
Orlop, n., The lowest deck of a vessel
Ormer, n., An abalone.
Orpin, n., A yellow pigment of various degrees of intensity
Orpin, n., The orpine.
Orris, n., A plant of the genus Iris (I. Florentina); a kind of flower-de-luce. Its rootstock has an odor resembling that of violets.
Orris, n., A sort of gold or silver lace.
Orris, n., A peculiar pattern in which gold lace or silver lace is worked; especially
Orval, n., A kind of sage (Salvia Horminum).
Orvet, n., The blindworm.
Oryal, n., Alt. of Oryall
Oryza, n., A genus of grasses including the rice plant; rice.
Oscan, a., Of or pertaining to the Osci
Oscan, n., The language of the Osci.
Osier, n., A kind of willow (Salix viminalis) growing in wet places in Europe and Asia
Osier, n., One of the long
Osier, a., Made of osiers; composed of
Osmic, a., Pertaining to
-ries, pl., of Ossuary
-ries, pl., of Ostiary
Ostic, a., Pertaining to
Ostia, pl., of Ostium
Otary, n., Any eared seal.
Other, conj., Either; -- used with other or or for its correlative (as either . . . or are now used).
Other, pron. & a., Different from that which
Other, pron. & a., Not this
Other, pron. & a., Alternate; second; -- used esp. in connection with every; as
Other, pron. & a., Left
Other, adv., Otherwise.
Ottar, n., See Attar.
Otter, n., Any carnivorous animal of the genus Lutra
Otter, n., The larva of the ghost moth. It is very injurious to hop vines.
Otter, n., A corruption of Annotto.
Ought, n. & adv., See Aught.
Ought, imp., p. p.
Ought, imp., p. p.
Ought, imp., p. p.
Ought, imp., p. p.
Ounce, n., A weight
Ounce, n., The twelfth part of a troy pound.
Ounce, n., Fig.: A small portion; a bit.
Ounce, n., A feline quadruped (Felis irbis
Oundy, a., Wavy; waving/ curly.
Ouphe, n., A fairy; a goblin; an elf.
Ousel, n., One of several species of European thrushes
Outdo, v. t., To go beyond in performance; to excel; to surpass.
Outer, a., Being on the outside; external; farthest or farther from the interior
Outer, n., The part of a target which is beyond the circles surrounding the bull's-eye.
Outer, n., A shot which strikes the outer of a target.
Outer, v., One who puts out
Outgo, v. t., To go beyond; to exceed in swiftness; to surpass; to outdo.
Outgo, v. t., To circumvent; to overreach.
Outgo, n., That which goes out
Outre, a., Being out of the common course or limits; extravagant; bizarre.
Ouzel, n., Same as Ousel.
Ovant, a., Exultant.
Ovary, n., That part of the pistil which contains the seed
Ovary, n., The essential female reproductive organ in which the ova are produced. See Illust. of Discophora.
Ovate, a., Shaped like an egg
Ovate, a., Having the shape of an egg
Overt, a., Open to view; public; apparent; manifest.
Overt, a., Not covert; open; public; manifest; as
Ovile, a., See Ovine.
Ovine, a., Of or pertaining to sheep; consisting of sheep.
Ovist, n., Same as Ovulist.
Ovoid, a., Alt. of Ovoidal
Ovoid, n., A solid resembling an egg in shape.
Ovolo, n., A round
Ovule, n., The rudiment of a seed. It grows from a placenta
Ovule, n., An ovum.
Ovula, pl., of Ovulum
Ovums, pl., of Ovum
Ought, , of Owe
Owing, p. pr. & vb. n., of Owe
Owher, adv., Anywhere.
Owing, P. p. & a., Had or held under obligation of paying; due.
